Var1	Var2	Var3	Freq	con	my_ranks
GENECODIS	EGCG	BP	0	Maximum	9
DAVID	EGCG	BP	1	Maximum	8
BiNGO	EGCG	BP	2	Maximum	7
WebGestalt	EGCG	BP	2	Maximum	7
GOstat	EGCG	BP	3	Maximum	6
GO::TermFinder	EGCG	BP	8	Maximum	5
STRING	EGCG	BP	9	Maximum	4
PANTHER	EGCG	BP	10	Maximum	3
ClueGO	EGCG	BP	11	Maximum	2
g:Profiler	EGCG	BP	170	Maximum	1
GENECODIS	EGCG	CC	0	Maximum	7
DAVID	EGCG	CC	2	Maximum	6
WebGestalt	EGCG	CC	2	Maximum	6
ClueGO	EGCG	CC	3	Maximum	5
GO::TermFinder	EGCG	CC	3	Maximum	5
GOstat	EGCG	CC	4	Maximum	4
STRING	EGCG	CC	4	Maximum	4
BiNGO	EGCG	CC	8	Maximum	3
PANTHER	EGCG	CC	21	Maximum	2
g:Profiler	EGCG	CC	53	Maximum	1
GO::TermFinder	EGCG	MF	0	Maximum	4
GOstat	EGCG	MF	0	Maximum	4
BiNGO	EGCG	MF	1	Maximum	3
DAVID	EGCG	MF	1	Maximum	3
WebGestalt	EGCG	MF	1	Maximum	3
ClueGO	EGCG	MF	4	Maximum	2
PANTHER	EGCG	MF	4	Maximum	2
STRING	EGCG	MF	4	Maximum	2
g:Profiler	EGCG	MF	28	Maximum	1
DAVID	EGCG	BP	2	Minimum	10
WebGestalt	EGCG	BP	3	Minimum	9
ClueGO	EGCG	BP	6	Minimum	8
GENECODIS	EGCG	BP	9	Minimum	7
g:Profiler	EGCG	BP	25	Minimum	6
BiNGO	EGCG	BP	26	Minimum	5
GO::TermFinder	EGCG	BP	27	Minimum	4
PANTHER	EGCG	BP	28	Minimum	3
STRING	EGCG	BP	36	Minimum	2
GOstat	EGCG	BP	54	Minimum	1
WebGestalt	EGCG	CC	1	Minimum	9
DAVID	EGCG	CC	3	Minimum	8
PANTHER	EGCG	CC	3	Minimum	8
ClueGO	EGCG	CC	6	Minimum	7
GO::TermFinder	EGCG	CC	8	Minimum	6
GENECODIS	EGCG	CC	9	Minimum	5
STRING	EGCG	CC	10	Minimum	4
g:Profiler	EGCG	CC	11	Minimum	3
BiNGO	EGCG	CC	15	Minimum	2
GOstat	EGCG	CC	34	Minimum	1
PANTHER	EGCG	MF	0	Minimum	6
WebGestalt	EGCG	MF	0	Minimum	6
ClueGO	EGCG	MF	1	Minimum	5
DAVID	EGCG	MF	2	Minimum	4
GO::TermFinder	EGCG	MF	2	Minimum	4
GENECODIS	EGCG	MF	6	Minimum	3
g:Profiler	EGCG	MF	7	Minimum	2
GOstat	EGCG	MF	7	Minimum	2
BiNGO	EGCG	MF	9	Minimum	1
STRING	EGCG	MF	9	Minimum	1
GENECODIS	Caffeine	BP	0	Maximum	8
DAVID	Caffeine	BP	1	Maximum	7
GOstat	Caffeine	BP	1	Maximum	7
BiNGO	Caffeine	BP	3	Maximum	6
WebGestalt	Caffeine	BP	3	Maximum	6
STRING	Caffeine	BP	6	Maximum	5
GO::TermFinder	Caffeine	BP	18	Maximum	4
PANTHER	Caffeine	BP	24	Maximum	3
ClueGO	Caffeine	BP	39	Maximum	2
g:Profiler	Caffeine	BP	166	Maximum	1
GENECODIS	Caffeine	CC	0	Maximum	10
STRING	Caffeine	CC	1	Maximum	9
WebGestalt	Caffeine	CC	2	Maximum	8
BiNGO	Caffeine	CC	4	Maximum	7
DAVID	Caffeine	CC	5	Maximum	6
GO::TermFinder	Caffeine	CC	12	Maximum	5
ClueGO	Caffeine	CC	14	Maximum	4
g:Profiler	Caffeine	CC	17	Maximum	3
GOstat	Caffeine	CC	21	Maximum	2
PANTHER	Caffeine	CC	30	Maximum	1
GOstat	Caffeine	MF	0	Maximum	9
DAVID	Caffeine	MF	2	Maximum	8
WebGestalt	Caffeine	MF	2	Maximum	8
GENECODIS	Caffeine	MF	3	Maximum	7
STRING	Caffeine	MF	4	Maximum	6
BiNGO	Caffeine	MF	5	Maximum	5
GO::TermFinder	Caffeine	MF	7	Maximum	4
g:Profiler	Caffeine	MF	8	Maximum	3
ClueGO	Caffeine	MF	9	Maximum	2
PANTHER	Caffeine	MF	16	Maximum	1
DAVID	Caffeine	BP	1	Minimum	9
GO::TermFinder	Caffeine	BP	6	Minimum	8
WebGestalt	Caffeine	BP	7	Minimum	7
ClueGO	Caffeine	BP	10	Minimum	6
GENECODIS	Caffeine	BP	16	Minimum	5
BiNGO	Caffeine	BP	26	Minimum	4
g:Profiler	Caffeine	BP	39	Minimum	3
STRING	Caffeine	BP	39	Minimum	3
PANTHER	Caffeine	BP	44	Minimum	2
GOstat	Caffeine	BP	73	Minimum	1
ClueGO	Caffeine	CC	0	Minimum	7
GO::TermFinder	Caffeine	CC	0	Minimum	7
PANTHER	Caffeine	CC	0	Minimum	7
WebGestalt	Caffeine	CC	2	Minimum	6
GENECODIS	Caffeine	CC	6	Minimum	5
DAVID	Caffeine	CC	8	Minimum	4
STRING	Caffeine	CC	13	Minimum	3
BiNGO	Caffeine	CC	25	Minimum	2
g:Profiler	Caffeine	CC	25	Minimum	2
GOstat	Caffeine	CC	27	Minimum	1
ClueGO	Caffeine	MF	0	Minimum	7
GO::TermFinder	Caffeine	MF	0	Minimum	7
PANTHER	Caffeine	MF	0	Minimum	7
DAVID	Caffeine	MF	1	Minimum	6
WebGestalt	Caffeine	MF	1	Minimum	6
GENECODIS	Caffeine	MF	6	Minimum	5
BiNGO	Caffeine	MF	7	Minimum	4
STRING	Caffeine	MF	9	Minimum	3
GOstat	Caffeine	MF	10	Minimum	2
g:Profiler	Caffeine	MF	22	Minimum	1
GENECODIS	EGCG	MF	0	Maximum	4
